time,rep,donor,separation,bio.condition,sample_id
D15,P6,D1G,floating,D1G floating,13-21417_S53
D15,P8_1,D1G,floating,D1G floating,14-21418_S2
D15,P8_2,D1G,floating,D1G floating,15-21419_S9
D15,P6_1,D2A,floating,D2A floating,16-21420_S16
D15,P6_2,D2A,floating,D2A floating,17-21421_S24
D15,P7,D2A,floating,D2A floating,18-21422_S32
D15,P7,D1G,bulk,D1G,19-21423_S40
D15,P8_2,D1G,bulk,D1G,20-21424_S47
D15,P8_1,D1G,bulk,D1G,21-21425_S54
D15,P7,D2A,bulk,D2A,22-21426_S3
D15,P6,D2A,bulk,D2A,23-21427_S10
D15,P7,D2A,bulk,D2A,24-21428_S17
