gene	length	gene_name	description	gene_biotype	D07G	D07G.floating	D13A	D13A.floating
ENSG00000227232	1351	WASH7P	WAS protein family homolog 7, pseudogene 	unprocessed_pseudogene	1.45284311245356	1.65573754198983	2.24538439382591	0.976331867632218
ENSG00000237613	1219	FAM138A	family with sequence similarity 138 member A 	lincRNA	0.244352331074798	0.258429784160699	0.00278326729038495	0
ENSG00000238009	3726	AL627309.1	novel transcript	lincRNA	0.0467128806930544	0.0232148800261397	0.044218331684178	0.0308571554446147
ENSG00000241860	6195	AL627309.5		processed_transcript	0.0891613663844787	0.0556237862466573	0.104887839806608	0.0613047192094262
ENSG00000279928	570	FO538757.1	DEAD/H-box helicase 11 (DDX11) pseudogene	unprocessed_pseudogene	0.0287135902560165	0.0190894214466529	0.420834043882495	0.440438378412194
ENSG00000279457	1397	WASH9P	WAS protein family homolog 9, pseudogene 	unprocessed_pseudogene	1.83942666697552	2.54834720985735	2.49725130677743	1.01370837954751
ENSG00000228463	8224	AP006222.1	ribosomal protein L23a (RPL23A) pseudogene	transcribed_processed_pseudogene	0.222069805655008	0.184783648408865	0.350541306110219	0.39641014963224
ENSG00000237094	6204	AL732372.2	pseudogene similar to part of septin 14 SEPT14	transcribed_unprocessed_pseudogene	0.193898299512246	0.0756136428770669	0.208992387541733	0.080494547010117
ENSG00000230021	5495	AL669831.3		transcribed_processed_pseudogene	0.232260333915362	0.349476859388604	0.291186574383711	0.354400650619184
ENSG00000225972	372	MTND1P23	MT-ND1 pseudogene 23 	unprocessed_pseudogene	101.720659635592	223.095398318699	134.753525958076	158.086356949945
ENSG00000225630	1044	MTND2P28	MT-ND2 pseudogene 28 	unprocessed_pseudogene	1215.8849586499	1688.93999960913	768.88997604997	938.657622728554
ENSG00000237973	1543	MTCO1P12	MT-CO1 pseudogene 12 	unprocessed_pseudogene	1137.62540845295	1490.82737300589	1405.93066403523	1121.23648946621
ENSG00000229344	682	MTCO2P12	MT-CO2 pseudogene 12 	unprocessed_pseudogene	15.2934691007241	44.4145789062677	16.0924369513689	32.1859659816199
ENSG00000240409	207	MTATP8P1	MT-ATP8 pseudogene 1 	unprocessed_pseudogene	2.06058325525188	2.88869594810746	2.20945850085127	3.7469897493862
ENSG00000248527	681	MTATP6P1	MT-ATP6 pseudogene 1 	unprocessed_pseudogene	982.33446812145	1638.77367390506	1110.31340483512	1270.60649751196
ENSG00000198744	547	MTCO3P12	MT-CO3 pseudogene 12 	unprocessed_pseudogene	33.2204119927535	94.3824079973085	44.0299919139432	78.7861128789351
ENSG00000228327	6432	AL669831.1	general transcription factor IIi (GTF2I) pseudogene	transcribed_unprocessed_pseudogene	0.358594624401066	0.225932176866751	0.416981660981098	0.194150041189439
ENSG00000237491	5517	AL669831.5	novel transcript	lincRNA	0.104881348304889	0.0145885670545488	0.143070667874269	0.0460690675135383
ENSG00000230092	872	AL669831.4	F-box only protein 25 (FBXO25) pseudogene	transcribed_unprocessed_pseudogene	0.598924939474987	0.299282577112609	0.453214027704524	0.478126678324353
ENSG00000177757	1947	FAM87B	family with sequence similarity 87 member B 	lincRNA	0.138441566900868	0.106513897025198	0.11170302943427	0.126904244203211
ENSG00000228794	9470	LINC01128	long intergenic non-protein coding RNA 1128 	processed_transcript	1.9551857333661	2.06010119512662	3.11696484587828	3.45071526473066
ENSG00000225880	1317	LINC00115	long intergenic non-protein coding RNA 115 	lincRNA	0.241675322931225	0.160084139065217	0.368775297484461	0.101783211380934
ENSG00000223764	4152	LINC02593	long intergenic non-protein coding RNA 2593 	lincRNA	0.155176051169244	0.148156599131122	0.312331097527999	0.0935633711121723
ENSG00000187634	4166	SAMD11	sterile alpha motif domain containing 11 	protein_coding	0.111624479564867	0.152657720374153	0.259704454181745	0.116819783893058
ENSG00000188976	5539	NOC2L	NOC2 like nucleolar associated transcriptional repressor 	protein_coding	5.30163474090185	15.3231775392034	6.44143253434813	5.58769857381291
ENSG00000187961	3395	KLHL17	kelch like family member 17 	protein_coding	0.187091401764791	0.221714123681201	0.3187194807344	0.0857522202971112
ENSG00000187608	941	ISG15	ISG15 ubiquitin-like modifier 	protein_coding	1.09391202288167	4.49987779823058	2.09488158485302	1.17650387208694
ENSG00000188157	10758	AGRN	agrin 	protein_coding	0.4017985650361	0.691227722268182	0.547419612393013	0.147840507317714
ENSG00000131591	6322	C1orf159	chromosome 1 open reading frame 159 	protein_coding	0.128369778977468	0.355399507331169	0.254662242514985	0.111726757503617
ENSG00000078808	4709	SDF4	stromal cell derived factor 4 	protein_coding	10.3894681936992	28.3160325668054	14.6978797910245	7.93745640001758
ENSG00000176022	2816	B3GALT6	beta-1,3-galactosyltransferase 6 	protein_coding	3.79080316592669	5.58555699427939	3.99240303338125	2.86852592752172
ENSG00000160087	4712	UBE2J2	ubiquitin conjugating enzyme E2 J2 	protein_coding	2.73798951638805	4.32630252051956	3.35280776739993	2.57183633502809
ENSG00000230415	513	LINC01786	long intergenic non-protein coding RNA 1786 	lincRNA	0.729119913772145	0.576732208321067	0.710022090966515	0.415673973448849
ENSG00000162572	4025	SCNN1D	sodium channel epithelial 1 delta subunit 	protein_coding	0.127133436454753	0.108399794996023	0.210839453608159	0.0533533545498825
ENSG00000131584	8809	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 	protein_coding	1.21921006288516	2.3003727831963	1.83026544618049	0.624759151408008
ENSG00000169972	2489	PUSL1	pseudouridine synthase like 1 	protein_coding	0.589123283016905	1.54005912450293	0.781703944462782	0.575397538379924
ENSG00000127054	8220	INTS11	integrator complex subunit 11 	protein_coding	2.55403616830406	5.40533593483109	3.03159526935218	1.82350751797637
ENSG00000240731	386	AL139287.1	novel transcript	sense_intronic	5.89713155948941	0.88319365862353	3.78124248956212	0.77468270293137
ENSG00000224051	2556	CPTP	ceramide-1-phosphate transfer protein 	protein_coding	1.36383964885144	4.29969708844552	1.83061868210275	1.36390842201078
ENSG00000107404	3814	DVL1	dishevelled segment polarity protein 1 	protein_coding	1.56597208275361	3.46511953076038	2.86751933842242	1.16628779966625
ENSG00000162576	3622	MXRA8	matrix remodeling associated 8 	protein_coding	36.0329949882933	89.7424232722194	42.989726505677	32.611842953979
ENSG00000175756	1669	AURKAIP1	aurora kinase A interacting protein 1 	protein_coding	5.1256976713707	26.831184732017	9.50964555366689	9.87231727120316
ENSG00000221978	6850	CCNL2	cyclin L2 	protein_coding	11.0150358436289	4.13736785740789	8.75590832943926	2.69439741387443
ENSG00000224870	2525	MRPL20-AS1	MRPL20 antisense RNA 1 	processed_transcript	4.23189151675575	5.9466992125641	4.99413631908478	3.10908882794415
ENSG00000242485	2788	MRPL20	mitochondrial ribosomal protein L20 	protein_coding	7.38190818590737	18.2007561123897	9.40615205888063	11.2004213661615
ENSG00000272455	1523	AL391244.2	novel transcript	lincRNA	2.03853586646169	1.95753406720418	2.13093028844999	1.67963397619879
ENSG00000235098	2644	ANKRD65	ankyrin repeat domain 65 	protein_coding	0.251382445546878	0.738098837283342	0.218959368440127	0.280143846270135
ENSG00000225285	851	LINC01770	long intergenic non-protein coding RNA 1770 	lincRNA	0.0522391090773114	0.341389895399415	0.197801507990581	0.270398013901115
ENSG00000179403	5065	VWA1	von Willebrand factor A domain containing 1 	protein_coding	0.0890219635120183	0.557370581641487	0.211879373392971	0.134184298016458
