"Geneid"	"Length"	"gene_name"	"description"	"time_effect_donor7"	"time_effect_donor13"	"AveExpr"	"F"	"P.Value"	"adj.P.Val"
"ENSG00000151726"	6284	"ACSL1"	"acyl-CoA synthetase long chain family member 1 "	6.32852720923958	6.5879102621931	8.81089064917017	1311.94928326432	4.2706361279604e-36	9.04264493734334e-32
"ENSG00000099194"	5362	"SCD"	"stearoyl-CoA desaturase "	8.37412479157336	8.11600236850344	11.8078736235218	977.509120000271	1.36678468511047e-33	1.44701494612645e-29
"ENSG00000091513"	26199	"TF"	"transferrin "	15.352999730777	14.2322663165467	3.10525663933104	772.25458702998	1.13033356815563e-31	7.97789432404246e-28
"ENSG00000056998"	3655	"GYG2"	"glycogenin 2 "	5.43592358896356	4.59265834390639	4.98026305946738	682.109680241404	9.52268552282064e-31	5.04083358150511e-27
"ENSG00000042445"	4005	"RETSAT"	"retinol saturase "	3.7443360745254	4.45163299695402	7.10013410050561	664.358570501719	1.55853322222208e-30	6.60007648946607e-27
"ENSG00000131471"	4524	"AOC3"	"amine oxidase, copper containing 3 "	11.794312095781	11.6807267485336	6.37940653930159	583.729983447707	2.06886435708591e-29	6.79330076951667e-26
"ENSG00000076555"	14505	"ACACB"	"acetyl-CoA carboxylase beta "	7.24900965067107	7.62218596325179	7.35163753708567	581.151246791401	2.2458253228779e-29	6.79330076951667e-26
"ENSG00000170323"	1396	"FABP4"	"fatty acid binding protein 4 "	12.4723710606149	9.99202436359298	7.35138389607314	558.169168354267	4.7421571636722e-29	1.1783855834633e-25
"ENSG00000101938"	3920	"CHRDL1"	"chordin like 1 "	6.60066824588357	7.6068894826526	5.95453707003667	556.522524010279	5.00872308074512e-29	1.1783855834633e-25
"ENSG00000187288"	1926	"CIDEC"	"cell death inducing DFFA like effector c "	13.0407276670472	15.1156226149478	3.77088399018944	523.278645095871	1.56438250775734e-28	3.3124235219254e-25
"ENSG00000182782"	2051	"HCAR2"	"hydroxycarboxylic acid receptor 2 "	8.71946313039772	10.8031906285828	-0.965915161710365	495.108555744479	3.68911876632747e-28	7.10121825074708e-25
"ENSG00000134243"	9160	"SORT1"	"sortilin 1 "	5.30732934462038	5.96043701761365	6.8919430102178	482.243739274949	7.05451892544546e-28	1.23352816954317e-24
"ENSG00000110031"	2467	"LPXN"	"leupaxin "	-3.42596181673848	-3.94154636941558	3.33610346027816	476.21405665655	7.57337593466571e-28	1.23352816954317e-24
"ENSG00000122378"	6520	"PRXL2A"	"peroxiredoxin like 2A "	8.10211392795802	7.4327278993237	5.53336696238679	476.368395863158	8.84060731176777e-28	1.33707870870979e-24
"ENSG00000166347"	9313	"CYB5A"	"cytochrome b5 type A "	4.79592348611632	5.6738952966143	7.1310593011077	472.680276264382	1.02000951872095e-27	1.43984543662649e-24
"ENSG00000176485"	3116	"PLA2G16"	"phospholipase A2 group XVI "	4.35169305405753	5.90714532653896	6.04630656380593	470.54396153195	1.10866772517654e-27	1.46718315080551e-24
"ENSG00000131480"	2657	"AOC2"	"amine oxidase, copper containing 2 "	6.4893209936223	7.07694163573744	2.75120298819964	458.940642571188	1.55465649090975e-27	1.93637038461901e-24
"ENSG00000166819"	3797	"PLIN1"	"perilipin 1 "	14.2804082137989	13.5608109414889	4.16272119255755	445.122956164452	3.07663032091373e-27	3.61914280083485e-24
"ENSG00000257017"	5405	"HP"	"haptoglobin "	15.2883269181544	14.8747725356984	2.74247992417871	434.466264330843	4.79917040414148e-27	5.34829653354167e-24
"ENSG00000157150"	1650	"TIMP4"	"TIMP metallopeptidase inhibitor 4 "	5.08358742568259	5.17909895107988	3.76049737513069	416.198845425995	1.01910449842015e-26	1.07892593247741e-23
"ENSG00000149485"	10230	"FADS1"	"fatty acid desaturase 1 "	5.14161873220255	5.85953499211167	9.26743418184106	409.016012045604	1.44977017923146e-26	1.42790853528711e-23
"ENSG00000133317"	2270	"LGALS12"	"galectin 12 "	12.1020306375265	13.5432507765158	2.73184188568954	408.50033087879	1.48361139965601e-26	1.42790853528711e-23
"ENSG00000167588"	3991	"GPD1"	"glycerol-3-phosphate dehydrogenase 1 "	13.0545823902024	13.8515722435139	5.67883180786643	407.426738623171	1.55675983672223e-26	1.43316664272854e-23
"ENSG00000133056"	9414	"PIK3C2B"	"phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta "	5.61758123407642	5.35532221148253	3.70938143536964	395.917089101827	2.34554730483136e-26	2.06935910968746e-23
"ENSG00000186205"	9258	"MARC1"	"mitochondrial amidoxime reducing component 1 "	7.08790644020571	8.83297426488612	3.03002283917346	393.427302889924	2.94912937692006e-26	2.49779461707622e-23
"ENSG00000160862"	2699	"AZGP1"	"alpha-2-glycoprotein 1, zinc-binding "	10.9282820508192	11.4394639560843	1.37967480363242	375.44049467323	6.92390690561659e-26	5.51428977650613e-23
"ENSG00000185818"	5871	"NAT8L"	"N-acetyltransferase 8 like "	10.5668607124439	10.6474493131624	0.0765475057463788	375.12272287594	7.03153981135664e-26	5.51428977650613e-23
"ENSG00000162706"	3847	"CADM3"	"cell adhesion molecule 3 "	10.6127736715677	13.3164423188343	0.0868598625448023	366.718411862886	1.06222557112099e-25	8.03114011953546e-23
"ENSG00000170262"	1346	"MRAP"	"melanocortin 2 receptor accessory protein "	10.7992273977242	11.8501803511155	0.520028444761863	366.015769590619	1.09994834923268e-25	8.03114011953546e-23
"ENSG00000124253"	6819	"PCK1"	"phosphoenolpyruvate carboxykinase 1 "	13.5885542799215	14.0937280382871	1.43204112026285	363.448438032853	1.25021302860308e-25	8.82400355588055e-23
"ENSG00000039537"	4739	"C6"	"complement C6 "	11.8232698761064	11.0734620257426	-0.354462786070541	350.592602834253	2.40543434908796e-25	1.63909646956281e-22
"ENSG00000229251"	951	"HNRNPA1P8"	"heterogeneous nuclear ribonucleoprotein A1 pseudogene 8 "	-5.77055668883499	-5.93535976057663	2.03704502862836	346.830110029849	2.54253669195742e-25	1.63909646956281e-22
"ENSG00000153002"	5703	"CPB1"	"carboxypeptidase B1 "	11.497987377987	11.3436796134555	-0.360292996800176	349.432907946831	2.55455669668333e-25	1.63909646956281e-22
"ENSG00000225137"	1838	"DYNC1I2P1"	"dynein cytoplasmic 1 intermediate chain 2 pseudogene 1 "	-4.00980686784503	-3.95147912071265	2.3061660039205	337.577547881306	4.15847995321144e-25	2.58975454497938e-22
"ENSG00000197381"	10049	"ADARB1"	"adenosine deaminase, RNA specific B1 "	3.65988840750314	3.9318319707591	5.13991365245733	333.943646602528	5.36124840630445e-25	3.2434021072883e-22
"ENSG00000241158"	6949	"ADAMTS9-AS1"	"ADAMTS9 antisense RNA 1 "	8.73010285297097	10.1385672629321	-2.53850830151675	332.589669308434	6.25548482740807e-25	3.67926765932051e-22
"ENSG00000128268"	5457	"MGAT3"	"mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase "	8.56581519236269	10.0807709069968	-1.53186801287771	324.179961063068	9.94231091100468e-25	5.68968895215171e-22
"ENSG00000005249"	4318	"PRKAR2B"	"protein kinase cAMP-dependent type II regulatory subunit beta "	5.4951011338165	5.10123953627461	4.91018105635639	323.611622753766	1.02627500146549e-24	5.71851233711321e-22
"ENSG00000167107"	5797	"ACSF2"	"acyl-CoA synthetase family member 2 "	4.77398360324677	5.57878127394728	5.33790173002061	316.577970954518	1.52642168290196e-24	8.28729556763234e-22
"ENSG00000095637"	10951	"SORBS1"	"sorbin and SH3 domain containing 1 "	7.75814938113535	7.90063895803555	3.84342469514386	316.027254450704	1.57516465983516e-24	8.33813412683744e-22
"ENSG00000135318"	4533	"NT5E"	"5'-nucleotidase ecto "	-3.50161986234526	-3.32368161157857	7.52674038051822	311.314846116693	1.97004425398892e-24	1.01740773253564e-21
"ENSG00000167613"	8071	"LAIR1"	"leukocyte associated immunoglobulin like receptor 1 "	8.69899913517527	10.4684055057461	-2.66063015902026	305.499010881856	2.90208283782949e-24	1.46306433352861e-21
"ENSG00000214199"	1346	"EEF1A1P12"	"eukaryotic translation elongation factor 1 alpha 1 pseudogene 12 "	-6.17664115083934	-5.97500059906871	5.11161839819481	304.255831758968	3.12329478719621e-24	1.53796846102541e-21
"ENSG00000181856"	4046	"SLC2A4"	"solute carrier family 2 member 4 "	10.7627680237852	11.8295417301738	0.513558737864388	303.657397685896	3.23604151806104e-24	1.55727143416874e-21
"ENSG00000116133"	6290	"DHCR24"	"24-dehydrocholesterol reductase "	2.8546250236459	4.40774566956819	7.98088604189283	303.269406813758	3.31142221738827e-24	1.55813453402176e-21
"ENSG00000119927"	9808	"GPAM"	"glycerol-3-phosphate acyltransferase, mitochondrial "	7.01087544353319	6.33837869186095	8.32782345664944	299.432915733038	4.16440619279596e-24	1.91689427665786e-21
"ENSG00000135218"	10880	"CD36"	"CD36 molecule "	7.89866127316551	6.72760273445959	8.44544919429764	293.689544796835	5.89968985586567e-24	2.65787304272553e-21
"ENSG00000144908"	13712	"ALDH1L1"	"aldehyde dehydrogenase 1 family member L1 "	12.5583346760015	14.0526715995705	2.02326674344552	291.828818065563	6.6135635739038e-24	2.91740823153831e-21
"ENSG00000148600"	7633	"CDHR1"	"cadherin related family member 1 "	7.38349013383833	9.35494731728523	-2.0326942631137	288.805300608383	7.3478280878319e-24	3.17516146799495e-21
"ENSG00000259137"	552	"AL109766.1"	"chromosome 11 open reading frame 58 (C11orf58) pseudogene"	-8.0812138273264	-5.77962073349783	0.254912958362796	287.456140295754	7.62597566864267e-24	3.2294481761568e-21
"ENSG00000164283"	2695	"ESM1"	"endothelial cell specific molecule 1 "	-7.53225534629935	-6.13402960026642	0.246658195886402	281.402293366888	1.27061793772145e-23	5.27530670849294e-21
"ENSG00000131730"	2736	"CKMT2"	"creatine kinase, mitochondrial 2 "	8.25606954522173	6.40381636742221	-0.140727702199484	279.103677426624	1.47182160065214e-23	5.99314434080930e-21
"ENSG00000245848"	2631	"CEBPA"	"CCAAT enhancer binding protein alpha "	9.63062259282867	9.69046269438735	3.07270510950761	278.519708369453	1.52810187788968e-23	6.10491116272378e-21
"ENSG00000253439"	553	"CDC42P5"	"cell division cycle 42 pseudogene 5 "	-7.74520789608787	-6.49685329438977	-0.863733636056253	274.887784447454	1.7042570660641e-23	6.68258131793357e-21
